time,V
0.0,113.67108735950002
1.0,155.62956118548036
2.0,197.51862879139304
3.0,239.31497187082755
4.0,280.98448575352285
5.0,322.4894988328521
6.0,363.8312212896078
7.0,405.03178886786037
8.0,446.14614880016944
9.0,487.3001632603334
10.0,528.7878423217876
11.0,571.3819206046886
12.0,617.542359435582
13.0,665.5382333828928
14.0,714.8365002798771
15.0,755.0133226989944
16.0,779.2225748243762
17.0,797.0607033649258
18.0,813.29628053538
19.0,828.4529128505321
20.0,842.6424996799651
21.0,855.9796703699966
22.0,868.5631670004265
23.0,880.4703790656811
24.0,891.7451033377323
25.0,902.3611839743778
26.0,912.1971500472494
27.0,921.1673592769398
28.0,929.2698356963633
29.0,936.5442784939402
30.0,943.0582485902671
31.0,948.8896433021164
32.0,954.11577085192
33.0,958.8138092389772
34.0,963.0568438355523
35.0,966.9051298234234
36.0,970.4015531254362
37.0,973.5763427862322
38.0,976.4551586985904
39.0,979.061133051696
40.0,981.4181169892751
41.0,983.5521739667205
42.0,985.4872063105279
43.0,987.241715771694
44.0,988.8319024659095
45.0,990.2737257060242
46.0,991.5817910030162
47.0,992.767598701336
48.0,993.838306808977
49.0,994.7989742810935
50.0,995.6534000155625
51.0,996.4062199094656
52.0,997.064136448049
53.0,997.6349851064618
54.0,998.1261394034176
55.0,998.5445189840011
56.0,998.8965502178888
57.0,999.187705116578
58.0,999.4234180092169
59.0,999.6093745840378
60.0,999.7510414402018
61.0,999.8534471087912
62.0,999.9220473847803
63.0,999.964227443855
64.0,999.9869882567451
65.0,999.9967399559583
66.0,999.9996152516725
67.0,1000.0
68.0,999.9999999999999
69.0,1000.0
70.0,1000.0000000000001
71.0,1000.0000000000001
72.0,999.9999999999983
73.0,1000.0000000000028
74.0,1000.0000000000007
75.0,999.9999999999984
76.0,996.4561826926775
77.0,969.1839472917922
78.0,917.6505351070466
79.0,873.5195734443032
80.0,840.423151689572
81.0,812.0485217841822
82.0,784.8780338036527
83.0,757.6020741104438
84.0,729.9918203278496
85.0,702.7727164540952
86.0,678.5540162078323
87.0,657.816063103113
88.0,611.5001279961396
89.0,552.9528287905308
90.0,494.45744077852385
91.0,436.10266363179784
92.0,378.00262075946296
93.0,320.29548408842703
94.0,414.89217216411623
95.0,502.0179514806512
96.0,512.7219353783747
97.0,508.1648605073334
98.0,499.3614448789199
99.0,489.4928829602131
100.0,477.95194238197337
101.0,443.73822323305325
102.0,324.0000000001146
103.0,365.9999999999884
104.0,411.2238608096693
105.0,453.47035206242276
106.0,487.2553314316961
107.0,519.3619057006556
108.0,551.0023878319669
109.0,582.245283966364
110.0,612.9712749575878
111.0,643.0850200665975
112.0,672.6425255320056
113.0,702.1322630761249
114.0,732.9620017745751
115.0,767.6359031466473
116.0,804.9329919011534
117.0,831.6427925958576
118.0,846.7544468601212
119.0,859.1870591876154
120.0,870.8815611719463
121.0,881.9362540520041
122.0,892.3972401324221
123.0,902.2892933163131
124.0,911.6266058891858
125.0,920.4005684400063
126.0,928.5404773757451
127.0,935.894089708798
128.0,942.3566859712467
129.0,948.0753210532026
130.0,953.271759455052
131.0,958.0375703484863
132.0,962.4052654200615
133.0,966.3974003493445
134.0,970.0273156556057
135.0,973.3080785788675
136.0,976.2561701641096
137.0,978.8943541251996
138.0,981.2553932889855
139.0,983.3826141546092
140.0,985.3194018064444
141.0,987.0903009627291
142.0,988.7086990187247
143.0,990.184374344195
144.0,991.5256325975377
145.0,992.7373693855469
146.0,993.8231364131934
147.0,994.7864562403657
148.0,995.6326609629109
149.0,996.3724364100862
150.0,997.0197009189395
151.0,997.5856865216833
152.0,998.0768836980894
153.0,998.4978612143207
154.0,998.8546715761261
155.0,999.1538915060576
156.0,999.3992153256379
157.0,999.593298848607
158.0,999.739244293727
159.0,999.8420941110221
160.0,999.91053710601
161.0,999.9538696212638
162.0,999.9798295094953
163.0,999.9937420863173
164.0,999.9991268105973
165.0,1000.0000000000001
166.0,999.9999999999999
167.0,999.9999999999999
168.0,1000.0000000000001
169.0,999.9999999999997
170.0,1000.0000000000007
171.0,1000.0000000000001
172.0,999.9999999999995
173.0,999.9999999999953
174.0,1000.0000000000023
175.0,1000.0000000000022
176.0,998.4354580987964
177.0,981.1412577609098
178.0,935.9532554063285
179.0,892.3892390024123
180.0,857.0822764327318
181.0,823.9700205612457
182.0,791.6436380317048
183.0,759.6136385289766
184.0,729.6216037134797
185.0,704.5990604289201
186.0,689.5106456264697
187.0,673.9190452093668
188.0,627.5020690442037
189.0,572.0622059826629
190.0,517.0428034335034
191.0,462.22825921935083
192.0,407.60068363225787
193.0,370.8556750004627
194.0,395.4502397565618
195.0,424.519307639321
196.0,434.1205272567682
197.0,433.57975423331175
198.0,429.56476189644087
199.0,427.04486676458816
200.0,427.9455871048988
201.0,429.0494561050291
202.0,428.30257267265955
203.0,425.5800023139063
204.0,421.2768831856497
205.0,448.6620368814843
206.0,486.7818804202055
207.0,518.010785356183
208.0,547.9186414121422
209.0,577.9171066187378
210.0,607.7487506894004
211.0,637.1371254294812
212.0,665.9445711243765
213.0,694.3469112061402
214.0,723.2052311775104
215.0,754.6517065209379
216.0,790.5438468245701
217.0,824.9752199425175
218.0,846.9611331889291
219.0,860.3262041057039
220.0,871.7410532891473
221.0,882.4616348821987
222.0,892.582393065909
223.0,902.1505764855247
224.0,911.1904554777432
225.0,919.7141776488638
226.0,927.7086876221006
227.0,935.1057206197881
228.0,941.7786398056335
229.0,947.6668899370702
230.0,952.9041744974123
231.0,957.6672841489512
232.0,962.0287049042332
233.0,966.0208850163467
234.0,969.665138724056
235.0,972.9785996855738
236.0,975.975835773041
237.0,978.6705275799708
238.0,981.0808790872628
239.0,983.2355079002103
240.0,985.1733599118735
241.0,986.9367554099543
242.0,988.5477188571266
243.0,990.0191986147171
244.0,991.3620278610774
245.0,992.5823569057557
246.0,993.6833470374804
247.0,994.666357689377
248.0,995.5329968788652
249.0,996.2894438325281
250.0,996.945933892632
251.0,997.5138518353323
252.0,998.0058856074882
253.0,998.4291398284403
254.0,998.7902762707101
255.0,999.0962578031596
256.0,999.3507945183796
257.0,999.5560440683644
258.0,999.7140109364686
259.0,999.8280965551455
260.0,999.9051211505677
261.0,999.9529938099461
262.0,999.9798311886468
263.0,999.9937426560878
264.0,999.9991269050843
