time,V
0,3.5
1,28.2
2,98
3,182.758620689655
4,261.551724137931
5,332.862068965517
6,396.157894736842
7,452.692307692308
8,505.769230769231
9,553.25
10,596.604395604396
11,636.111111111111
12,671.666666666667
13,703
14,730.2
15,755.888888888889
16,780.555555555556
17,802
18,821.777777777778
19,839.111111111111
20,854.2
21,868
22,880.888888888889
23,893.111111111111
24,904
25,913.222222222222
26,922.111111111111
27,929.3
28,936
29,942.666666666667
30,949.111111111111
31,954.333333333333
32,958.777777777778
33,963
34,966.666666666667
35,970.666666666667
36,973.555555555556
37,976.666666666667
38,979
39,981.2
40,983.222222222222
41,985.444444444445
42,987.333333333333
43,988.888888888889
44,990.555555555556
45,991.666666666667
46,992.7
47,993.777777777778
48,994.888888888889
49,996
50,996.111111111111
51,997.222222222222
52,998
53,998.333333333333
54,999
55,999.555555555556
56,1000
57,1000
58,1000
59,1000
60,1000
61,1000
62,1000
63,1000
64,1000
65,1000
66,1000
67,1000
68,1000
69,1000
70,1000
71,1000
72,1000
73,1000
74,1000
75,1000
76,1000
77,1000
78,1000
79,1000
80,1000
81,1000
82,1000
83,977
84,910
85,824.111111111112
86,746.111111111111
87,673.666666666667
88,608.555555555555
89,550.222222222222
90,498.666666666667
91,454.6
92,412.444444444445
93,372.888888888889
94,336
95,304
96,274.888888888889
97,249.928571428571
98,226.357142857143
99,206
100,185
101,203
102,247
103,303
104,356
105,450
106,492
107,565
108,603
109,638
110,670
111,700
112,727
113,751
114,773
115,793
116,811
117,828
118,858
119,871
120,882
121,893
122,902
123,911
124,919
125,927
126,934
127,940
128,950
129,955
130,959
131,963
132,967
133,970
134,973
135,976
136,978
137,980
138,983
139,986
140,988
141,989
142,990
143,992
144,993
145,994
146,995
147,995
148,996
149,997
150,998
151,999
152,999
153,999
154,1000
155,1000
156,1000
157,1000
158,1000
159,1000
160,1000
161,1000
162,1000
163,1000
164,1000
165,1000
166,1000
167,1000
168,1000
169,1000
170,1000
171,1000
172,1000
173,1000
174,1000
175,1000
176,1000
177,1000
178,1000
179,1000
180,1000
181,1000
182,1000
183,977
184,910
185,832
186,761
187,694
188,633
189,528
190,484
191,442
192,404
193,369
194,336
195,307
196,280
197,239
198,230
199,197
200,183
201,184
202,247
203,303
204,405
205,450
206,492
207,530
208,603
209,638
210,670
211,700
212,727
213,751
214,773
215,793
216,811
217,828
218,844
219,871
220,882
221,893
222,902
223,911
224,919
225,927
226,934
227,940
228,945
229,955
230,959
231,963
232,967
233,970
234,973
235,976
236,978
237,980
238,983
239,984
240,988
241,989
242,990
243,992
244,993
245,994
246,995
247,995
248,996
249,997
250,997
251,999
252,999
253,999
254,1000
255,1000
256,1000
257,1000
258,1000
259,1000
260,1000
261,1000
262,1000
263,1000
264,1000
265,1000
266,1000
267,1000
268,1000
269,1000
270,1000
271,1000
272,1000
273,1000
274,1000
275,1000
276,1000
277,1000
278,1000
279,1000
280,1000
281,1000
282,1000
283,976
284,910
285,832
286,759
287,693
288,631
289,576
290,481
291,440
292,402
293,367
294,334
295,305
296,279
297,255
298,238
299,202
300,184
301,186
302,247
303,303
304,405
305,450
306,492
307,530
308,603
309,638
310,670
311,700
312,727
313,751
314,773
315,793
316,811
317,828
318,844
319,871
320,882
321,893
322,902
323,911
324,919
325,927
326,934
327,940
328,945
329,955
330,959
331,963
332,967
333,970
334,973
335,976
336,978
337,980
338,983
339,984
340,988
341,989
342,990
343,992
344,993
345,994
346,995
347,995
348,996
349,997
350,998
351,999
352,999
353,999
354,1000
355,1000
356,1000
357,1000
358,1000
359,1000
360,1000
361,1000
362,1000
363,1000
364,1000
365,1000
366,1000
367,1000
368,1000
369,1000
370,1000
371,1000
372,1000
373,1000
374,1000
375,1000
376,1000
377,1000
378,1000
379,1000
380,1000
381,1000
382,1000
383,993
384,910
385,832
386,761
387,694
388,633
389,528
390,484
391,455
392,401
393,354
394,333
395,310
396,268
397,249
398,232
399,200
400,183
401,202
402,216
403,303
404,405
405,450
406,492
407,565
408,603
409,638
410,670
411,700
412,727
413,751
414,773
415,793
416,811
417,828
418,858
419,871
420,882
421,893
422,902
423,911
424,919
425,927
426,934
427,940
428,950
429,955
430,959
431,963
432,967
433,970
434,973
435,976
436,978
437,980
438,983
439,986
440,988
441,989
442,990
443,992
444,993
445,994
446,995
447,995
448,996
449,997
450,998
451,999
452,999
453,999
454,1000
455,1000
456,1000
457,1000
458,1000
459,1000
460,1000
461,1000
462,1000
463,1000
464,1000
465,1000
466,1000
467,1000
468,1000
469,1000
470,1000
471,1000
472,1000
473,1000
474,1000
475,1000
476,1000
477,1000
478,1000
479,1000
480,1000
481,1000
482,1000
483,974
484,910
485,832
486,761
487,694
488,633
489,528
490,484
491,454.5
492,425
493,355
494,324
495,296
496,270
497,247
498,220
499,198
500,186
