time,V
0.0,3.5
1.0,28.199999999999996
2.0,98.0
3.0,182.75862068965517
4.0,261.55172413793105
5.0,332.86206896551727
6.0,396.1578947368421
7.0,452.6923076923077
8.0,505.7692307692308
9.0,553.25
10.0,596.6043956043957
11.0,636.1111111111111
12.0,671.6666666666666
13.0,703.0
14.0,730.1999999999999
15.0,755.8888888888889
16.0,780.5555555555555
17.0,802.0
18.0,821.7777777777778
19.0,838.8
20.0,854.2
21.0,868.8
22.0,881.0
23.0,868.0
24.0,809.0
25.0,732.8888888888888
26.0,662.6666666666667
27.0,599.8
28.0,545.3333333333334
29.0,492.44444444444446
30.0,445.7777777777777
31.0,404.0
32.0,365.55555555555566
33.0,332.4000000000001
34.0,301.11111111111114
35.0,272.0
36.0,245.66666666666663
37.0,222.77777777777774
38.0,202.00000000000006
39.0,183.60000000000002
40.0,167.33333333333334
41.0,151.2222222222222
42.0,136.99999999999997
43.0,124.44444444444446
44.0,112.22222222222224
45.0,102.0
46.0,93.3
47.0,84.49999999999999
48.0,76.63333333333331
49.0,69.56666666666668
50.0,63.34444444444445
51.0,57.62222222222222
52.0,52.63999999999999
53.0,47.999999999999986
54.0,43.644444444444446
55.0,39.777777777777786
56.0,36.3
57.0,33.21111111111111
58.0,30.41999999999999
59.0,27.988888888888884
60.0,25.53333333333334
61.0,23.400000000000002
62.0,21.51111111111111
63.0,19.799999999999997
64.0,18.211111111111112
65.0,16.94
66.0,15.633333333333328
67.0,14.4
68.0,13.400000000000004
69.0,12.42222222222222
70.0,11.566666666666666
71.0,10.819999999999997
72.0,10.14222222222222
73.0,9.50888888888889
74.0,8.926666666666666
75.0,8.410000000000002
76.0,7.945555555555554
77.0,7.51
78.0,7.16
79.0,6.797777777777779
80.0,6.4799999999999995
81.0,6.193333333333333
82.0,5.942222222222221
83.0,5.70888888888889
84.0,5.506000000000001
85.0,5.316666666666666
86.0,5.135555555555555
87.0,4.975555555555554
88.0,4.84
89.0,4.707777777777778
90.0,4.59625
91.0,4.49
92.0,4.397777777777778
93.0,4.31
94.0,4.233333333333333
95.0,4.164999999999999
96.0,4.097777777777778
97.0,4.042222222222223
98.0,3.993333333333333
99.0,3.945
100.0,3.9
101.0,27.0
102.0,98.0
103.0,195.0
104.0,283.0
105.0,323.0
106.0,396.0
107.0,448.0
108.0,497.0
109.0,541.0
110.0,582.0
111.0,653.0
112.0,683.0
113.0,711.0
114.0,736.0
115.0,760.0
116.0,782.0
117.0,801.0
118.0,819.0
119.0,835.0
120.0,857.0
121.0,870.0
122.0,882.0
123.0,879.0
124.0,809.0
125.0,741.0
126.0,677.0
127.0,618.0
128.0,564.0
129.0,470.0
130.0,431.0
131.0,394.0
132.0,360.0
133.0,328.0
134.0,300.0
135.0,273.0
136.0,250.0
137.0,229.0
138.0,209.0
139.0,191.0
140.0,160.0
141.0,146.0
142.0,133.0
143.0,122.0
144.0,112.0
145.0,103.0
146.0,93.9
147.0,85.8
148.0,78.5
149.0,72.0
150.0,66.1
151.0,55.8
152.0,51.1
153.0,46.9
154.0,43.1
155.0,39.6
156.0,36.5
157.0,33.7
158.0,31.1
