time,V
0.0,3.5
1.0,97.6
2.0,261.2068965517241
3.0,395.7931034482759
4.0,505.82608695652175
5.0,596.6521739130435
6.0,670.695652173913
7.0,730.1111111111111
8.0,780.3478260869565
9.0,821.3478260869565
10.0,854.6666666666666
11.0,881.0
12.0,809.0
13.0,663.2500000000001
14.0,540.5
15.0,442.74999999999994
16.0,368.80000000000007
17.0,301.0
18.0,246.79999999999995
19.0,202.8
20.0,166.39999999999998
21.0,136.40000000000003
22.0,113.0
23.0,92.67999999999998
24.0,76.26
25.0,63.7
26.0,52.55000000000001
27.0,43.3
28.0,36.7
29.0,30.574999999999992
30.0,25.5
31.0,21.639999999999997
32.0,18.380000000000006
33.0,15.6
34.0,13.419999999999996
35.0,11.619999999999996
36.0,10.134000000000004
37.0,8.922000000000002
38.0,7.95
39.0,7.1339999999999995
40.0,6.461999999999999
41.0,5.949999999999999
42.0,5.4975000000000005
43.0,5.12
44.0,4.85
45.0,4.6049999999999995
46.0,4.395
47.0,4.238
48.0,4.102
49.0,3.99
50.0,3.904
51.0,3.828
52.0,3.7720000000000002
53.0,3.724
54.0,3.68
55.0,3.648
56.0,3.622
57.0,3.6
58.0,3.5825
59.0,3.57
60.0,3.56
61.0,3.5475
62.0,3.535
63.0,3.53
64.0,3.522
65.0,3.52
66.0,3.52
67.0,3.51
68.0,3.51
69.0,3.51
70.0,3.51
71.0,3.51
72.0,3.506
73.0,3.5
74.0,3.5
75.0,3.5
76.0,3.5
77.0,3.5
78.0,3.5
79.0,3.5
80.0,3.5
81.0,3.5
82.0,3.5
83.0,3.5
84.0,3.5
85.0,3.5
86.0,3.5
87.0,3.5
88.0,3.5
89.0,3.5
90.0,3.5
91.0,3.5
92.0,3.5
93.0,3.5
94.0,3.5
95.0,3.5
96.0,3.5
97.0,3.5
98.0,3.5
99.0,8.923076923076884
100.0,3.51
101.0,37.2
102.0,324.0
103.0,362.0
104.0,543.0
105.0,621.0
106.0,684.0
107.0,712.0
108.0,783.0
109.0,835.0
110.0,863.0
111.0,877.0
112.0,825.0
113.0,619.0
114.0,516.0
115.0,433.0
116.0,362.0
117.0,301.0
118.0,230.0
119.0,192.0
120.0,176.0
121.0,146.0
122.0,103.0
123.0,86.2
124.0,72.3
125.0,66.4
126.0,51.4
127.0,39.8
128.0,36.7
129.0,31.2
130.0,24.5
131.0,21.0
132.0,18.1
133.0,16.8
134.0,12.7
135.0,11.2
136.0,9.89
137.0,9.33
138.0,7.95
139.0,6.87
140.0,6.3
141.0,5.84
142.0,5.45
143.0,4.98
144.0,4.74
145.0,4.53
146.0,4.44
147.0,4.21
148.0,4.09
149.0,3.95
150.0,3.91
151.0,3.81
152.0,3.76
153.0,3.72
154.0,3.7
155.0,3.64
156.0,3.61
157.0,3.6
158.0,3.59
159.0,3.56
160.0,3.55
161.0,3.54
162.0,3.53
163.0,3.53
164.0,3.52
165.0,3.52
166.0,3.52
167.0,3.51
168.0,3.51
169.0,3.51
170.0,3.51
171.0,3.51
172.0,3.5
173.0,3.5
174.0,3.5
175.0,3.5
176.0,3.5
177.0,3.5
178.0,3.5
179.0,3.5
180.0,3.5
181.0,3.5
182.0,3.5
183.0,3.5
184.0,3.5
185.0,3.5
186.0,3.5
187.0,3.5
188.0,3.5
189.0,3.5
190.0,3.5
191.0,3.5
192.0,3.5
193.0,3.5
194.0,3.5
195.0,3.5
196.0,3.5
197.0,3.5
198.0,3.5
199.0,3.5
200.0,3.5
201.0,62.9
202.0,284.0
203.0,362.0
204.0,543.0
205.0,621.0
206.0,684.0
207.0,737.0
208.0,761.0
209.0,835.0
210.0,863.0
211.0,882.0
212.0,741.0
213.0,619.0
214.0,516.0
215.0,433.0
216.0,362.0
217.0,330.0
218.0,251.0
219.0,192.0
220.0,160.0
221.0,134.0
222.0,113.0
223.0,86.2
224.0,72.3
225.0,61.0
226.0,56.0
227.0,39.8
228.0,33.8
229.0,28.7
230.0,26.5
231.0,21.0
232.0,18.1
233.0,15.6
234.0,13.6
235.0,11.2
236.0,9.89
237.0,8.82
238.0,7.56
239.0,6.87
240.0,6.3
241.0,5.84
242.0,5.64
243.0,4.98
244.0,4.74
245.0,4.53
246.0,4.44
247.0,4.21
248.0,4.09
249.0,3.99
250.0,3.91
251.0,3.81
252.0,3.76
253.0,3.72
254.0,3.67
255.0,3.64
256.0,3.61
257.0,3.6
258.0,3.59
259.0,3.56
260.0,3.55
261.0,3.54
262.0,3.54
263.0,3.53
264.0,3.52
265.0,3.52
266.0,3.52
267.0,3.51
268.0,3.51
269.0,3.51
270.0,3.51
271.0,3.51
272.0,3.5
273.0,3.5
274.0,3.5
275.0,3.5
276.0,3.5
277.0,3.5
278.0,3.5
279.0,3.5
280.0,3.5
281.0,3.5
282.0,3.5
283.0,3.5
284.0,3.5
285.0,3.5
286.0,3.5
287.0,3.5
288.0,3.5
289.0,3.5
290.0,3.5
291.0,3.5
292.0,3.5
293.0,3.5
294.0,3.5
295.0,3.5
296.0,3.5
297.0,3.5
298.0,3.5
299.0,3.5
300.0,22.0
301.0,31.2
302.0,328.0
303.0,402.0
304.0,454.0
305.0,624.0
306.0,687.0
307.0,739.0
308.0,763.0
309.0,837.0
310.0,864.0
311.0,873.0
312.0,865.0
313.0,616.0
314.0,511.0
315.0,427.0
316.0,391.0
317.0,297.0
318.0,227.0
319.0,190.0
320.0,173.0
321.0,132.0
322.0,111.0
323.0,85.1
324.0,71.4
325.0,60.3
326.0,50.7
327.0,42.7
328.0,39.3
329.0,30.8
330.0,24.2
331.0,20.8
332.0,17.9
333.0,15.5
334.0,13.5
335.0,11.1
336.0,9.81
337.0,9.25
338.0,8.3
339.0,6.83
340.0,6.27
341.0,5.81
342.0,5.43
343.0,5.1
344.0,4.72
345.0,4.52
346.0,4.43
347.0,4.2
348.0,4.09
349.0,3.99
350.0,3.94
351.0,3.81
352.0,3.76
353.0,3.71
354.0,3.68
355.0,3.65
356.0,3.61
357.0,3.59
358.0,3.58
359.0,3.57
360.0,3.55
361.0,3.54
362.0,3.53
363.0,3.53
364.0,3.53
365.0,3.52
366.0,3.52
367.0,3.51
368.0,3.51
369.0,3.51
370.0,3.51
371.0,3.51
372.0,3.5
373.0,3.5
374.0,3.5
375.0,3.5
376.0,3.5
377.0,3.5
378.0,3.5
379.0,3.5
380.0,3.5
381.0,3.5
382.0,3.5
383.0,3.5
384.0,3.5
385.0,3.5
386.0,3.5
387.0,3.5
388.0,3.5
389.0,3.5
390.0,3.5
391.0,3.5
392.0,3.5
393.0,3.5
394.0,3.5
395.0,3.5
396.0,3.5
397.0,3.5
398.0,3.5
399.0,3.5
400.0,3.5
401.0,62.9
402.0,284.0
403.0,362.0
404.0,543.0
405.0,621.0
406.0,684.0
407.0,737.0
408.0,761.0
409.0,835.0
410.0,863.0
411.0,882.0
412.0,741.0
413.0,619.0
414.0,516.0
415.0,433.0
416.0,362.0
417.0,330.0
418.0,230.0
419.0,192.0
420.0,160.0
421.0,134.0
422.0,103.0
423.0,86.2
424.0,72.3
425.0,66.4
426.0,56.0
427.0,39.8
428.0,33.8
429.0,28.7
430.0,24.5
431.0,21.0
432.0,18.1
433.0,14.6
434.0,13.6
435.0,11.2
436.0,9.89
437.0,8.82
438.0,7.95
439.0,6.87
440.0,6.3
441.0,5.84
442.0,5.64
443.0,5.12
444.0,4.74
445.0,4.53
446.0,4.35
447.0,4.28
448.0,4.09
449.0,3.95
450.0,3.88
451.0,3.84
452.0,3.76
453.0,3.72
454.0,3.67
455.0,3.64
456.0,3.61
457.0,3.6
458.0,3.59
459.0,3.57
460.0,3.55
461.0,3.54
462.0,3.53
463.0,3.53
464.0,3.52
465.0,3.52
466.0,3.52
467.0,3.51
468.0,3.51
469.0,3.51
470.0,3.51
471.0,3.51
472.0,3.5
473.0,3.5
474.0,3.5
475.0,3.5
476.0,3.5
477.0,3.5
478.0,3.5
479.0,3.5
480.0,3.5
481.0,3.5
482.0,3.5
483.0,3.5
484.0,3.5
485.0,3.5
486.0,3.5
487.0,3.5
488.0,3.5
489.0,3.5
490.0,3.5
491.0,3.5
492.0,3.5
493.0,3.5
494.0,3.5
495.0,3.5
496.0,3.5
497.0,3.5
498.0,3.5
499.0,3.5
500.0,3.5
