time,V
0.0,3.5
1.0,8.7
2.0,18.399248120300754
3.0,27.8
4.0,36.97744360902256
5.0,46.0
6.0,54.582089552238806
7.0,63.00827067669173
8.0,71.23507462686567
9.0,79.22014925373134
10.0,87.12790697674419
11.0,94.4
12.0,101.64999999999999
13.0,108.14999999999999
14.0,114.55
15.0,120.05
16.0,125.5
17.0,130.5
18.0,135.4
19.0,139.4
20.0,143.35
21.0,146.85
22.0,150.3
23.0,153.3
24.0,156.2
25.0,158.2
26.0,160.22222222222223
27.0,162.22222222222223
28.0,163.33333333333334
29.0,164.4
30.0,165.0
31.0,165.55555555555554
32.0,166.0
33.0,166.0
34.0,165.83333333333334
35.0,165.0
36.0,164.0909090909091
37.0,163.25
38.0,162.36363636363637
39.0,161.0
40.0,159.33333333333334
41.0,157.57142857142856
42.0,155.42857142857144
43.0,153.4
44.0,151.14285714285714
45.0,148.28571428571428
46.0,145.6
47.0,142.85714285714286
48.0,140.0
49.0,136.66666666666666
50.0,133.21428571428572
51.0,129.0
52.0,125.875
53.0,122.75
54.0,119.625
55.0,116.5
56.0,113.375
57.0,110.25
58.0,107.1625
59.0,104.1
60.0,101.03750000000001
61.0,98.1375
62.0,95.48125
63.0,92.825
64.0,90.21875
65.0,87.8125
66.0,85.40625
67.0,83.0
68.0,80.8125
69.0,78.625
70.0,76.4375
71.0,74.45
72.0,72.5125
73.0,70.575
74.0,68.73548387096774
75.0,66.96129032258065
76.0,65.18709677419355
77.0,63.461290322580645
78.0,61.78387096774193
79.0,60.10645161290322
80.0,58.493548387096766
81.0,56.97741935483871
82.0,55.461290322580645
83.0,53.9741935483871
84.0,52.55483870967742
85.0,51.13548387096774
86.0,49.74193548387097
87.0,48.45161290322581
88.0,47.16129032258065
89.0,45.88387096774194
90.0,44.722580645161294
91.0,43.561290322580646
92.0,42.4
93.0,41.36774193548387
94.0,40.33548387096774
95.0,39.30322580645161
96.0,38.333333333333336
97.0,37.375
98.0,36.41666666666667
99.0,35.458333333333336
100.0,35.3
101.0,38.9
102.0,51.5
103.0,57.55
104.0,63.6
105.0,75.2
106.0,80.85
107.0,86.5
108.0,97.2
109.0,102.1
110.0,107.0
111.0,117.0
112.0,123.5
113.0,130.0
114.0,135.0
115.0,140.0
116.0,145.0
117.0,150.0
118.0,154.0
119.0,158.0
120.0,161.0
121.0,164.0
122.0,167.0
123.0,170.0
124.0,171.5
125.0,173.0
126.0,175.0
127.0,177.0
128.0,177.0
129.0,178.0
130.0,178.0
131.0,178.0
132.0,178.0
133.0,177.5
134.0,177.0
135.0,177.0
136.0,175.0
137.0,174.0
138.0,172.0
139.0,170.0
140.0,168.5
141.0,167.0
142.0,165.0
143.0,163.0
144.0,158.0
145.0,156.0
146.0,154.0
147.0,151.0
148.0,148.0
149.0,143.0
150.0,140.0
151.0,137.0
152.0,133.0
153.0,129.0
154.0,125.0
155.0,121.66666666666667
156.0,118.33333333333333
157.0,115.0
158.0,112.5
159.0,110.0
160.0,107.5
161.0,105.0
162.0,101.93333333333334
163.0,98.86666666666666
164.0,95.8
165.0,93.1
166.0,90.4
167.0,87.7
168.0,85.23333333333333
169.0,82.76666666666667
170.0,80.3
171.0,78.13333333333333
172.0,75.96666666666667
173.0,73.8
174.0,72.3
175.0,70.8
176.0,69.3
177.0,67.8
