time,V
0.0,3.5
1.0,8.965
2.0,24.130000000000003
3.0,47.7
4.0,73.3076923076923
5.0,95.86415094339623
6.0,115.5
7.0,132.57971014492753
8.0,147.7058823529412
9.0,160.83823529411762
10.0,172.8732394366197
11.0,183.0
12.0,192.14285714285714
13.0,199.42857142857142
14.0,205.85714285714286
15.0,212.42857142857142
16.0,217.66666666666666
17.0,222.28571428571428
18.0,225.71428571428572
19.0,229.0
20.0,232.42857142857142
21.0,234.71428571428572
22.0,237.42857142857142
23.0,239.71428571428572
24.0,241.28571428571428
25.0,242.71428571428572
26.0,244.16666666666666
27.0,245.71428571428572
28.0,246.14285714285714
29.0,247.57142857142858
30.0,248.0
31.0,249.0
32.0,249.0
33.0,250.0
34.0,249.66666666666666
35.0,247.5
36.0,245.0
37.0,240.5
38.0,234.625
39.0,228.75
40.0,221.57142857142856
41.0,213.75
42.0,206.0
43.0,196.33333333333334
44.0,187.16666666666666
45.0,178.0
46.0,167.0909090909091
47.0,156.99999999999997
48.0,147.0
49.0,136.0909090909091
50.0,124.66666666666667
51.0,113.68181818181816
52.0,102.09090909090908
53.0,90.5
54.0,80.14285714285715
55.0,69.9
56.0,61.82857142857143
57.0,54.68571428571429
58.0,48.02857142857143
59.0,42.62857142857143
60.0,37.78571428571428
61.0,33.50000000000001
62.0,29.816666666666663
63.0,26.400000000000006
64.0,23.542857142857137
65.0,21.085714285714275
66.0,18.9
67.0,17.0
68.0,15.3
69.0,13.81428571428572
70.0,12.528571428571423
71.0,11.399999999999999
72.0,10.399999999999995
73.0,9.545714285714284
74.0,8.802857142857144
75.0,8.140000000000002
76.0,7.568571428571427
77.0,7.027142857142859
78.0,6.604285714285712
79.0,6.22
80.0,5.885714285714287
81.0,5.588571428571427
82.0,5.311428571428572
83.0,5.091428571428571
84.0,4.895714285714285
85.0,4.724285714285715
86.0,4.573333333333334
87.0,4.432857142857143
88.0,4.32
89.0,4.22
90.0,4.13
91.0,4.045
92.0,3.983333333333334
93.0,3.92
94.0,3.8659999999999997
95.0,3.822
96.0,3.78
97.0,3.75
98.0,3.72
99.0,3.6900000000000004
100.0,4.64
101.0,8.17
102.0,32.9
103.0,45.1
104.0,74.4
105.0,97.9
106.0,118.0
107.0,138.0
108.0,148.0
109.0,157.0
110.0,174.0
111.0,187.0
112.0,193.0
113.0,198.0
114.0,207.0
115.0,212.0
116.0,219.0
117.0,222.0
118.0,227.0
119.0,229.0
120.0,233.0
121.0,235.0
122.0,238.0
123.0,240.0
124.0,242.0
125.0,243.0
126.0,244.0
127.0,246.0
128.0,246.0
129.0,247.0
130.0,248.0
131.0,249.0
132.0,250.0
133.0,250.0
134.0,250.0
135.0,246.0
136.0,243.0
137.0,239.0
138.0,235.0
139.0,230.0
140.0,220.0
141.0,214.0
142.0,208.0
143.0,199.5
144.0,191.0
145.0,180.0
146.0,168.0
147.0,156.0
148.0,144.0
149.0,132.0
150.0,125.5
151.0,119.0
152.0,104.75
153.0,90.5
154.0,76.2
155.0,69.8
156.0,58.7
157.0,53.9
158.0,45.7
159.0,42.0
160.0,35.5
161.0,32.7
162.0,30.1
163.0,25.8
164.0,23.8
165.0,20.4
166.0,18.9
167.0,17.5
168.0,15.2
169.0,13.3
170.0,12.4
171.0,10.9
172.0,10.3
173.0,9.69
174.0,8.65
175.0,8.19
176.0,7.78
177.0,7.07
178.0,6.48
179.0,6.21
180.0,5.75
181.0,5.56
182.0,5.22
183.0,5.07
184.0,4.8
185.0,4.69
186.0,4.58
187.0,4.49
188.0,4.33
189.0,4.19
190.0,4.13
191.0,4.02
192.0,3.98
193.0,3.9
194.0,3.86
195.0,3.8
196.0,3.78
197.0,3.75
198.0,3.73
199.0,3.69
200.0,4.64
201.0,8.17
202.0,32.9
203.0,45.1
204.0,74.4
205.0,97.9
206.0,118.0
207.0,138.0
208.0,148.0
209.0,157.0
210.0,174.0
211.0,187.0
212.0,193.0
213.0,198.0
214.0,207.0
215.0,212.0
216.0,219.0
217.0,222.0
218.0,227.0
219.0,229.0
220.0,233.0
221.0,235.0
222.0,238.0
223.0,240.0
224.0,242.0
225.0,243.0
226.0,244.0
227.0,246.0
228.0,246.0
229.0,247.0
230.0,248.0
231.0,249.0
232.0,250.0
233.0,250.0
234.0,250.0
235.0,246.0
236.0,243.0
237.0,239.0
238.0,235.0
239.0,225.0
240.0,220.0
