time,V
0.0,3.5
1.0,19.9
2.0,50.30000000000001
3.0,77.79411764705883
4.0,103.008
5.0,125.29347826086956
6.0,145.8279569892473
7.0,165.08695652173913
8.0,182.08695652173913
9.0,198.3913043478261
10.0,212.61702127659575
11.0,225.0
12.0,236.0
13.0,246.0
14.0,253.42857142857142
15.0,259.85714285714283
16.0,265.2
17.0,268.4
18.0,271.2
19.0,272.2
20.0,273.0
21.0,273.0
22.0,271.8
23.0,270.0
24.0,268.0
25.0,264.6666666666667
26.0,261.5
27.0,257.77777777777777
28.0,253.0
29.0,248.33333333333334
30.0,243.5
31.0,237.8
32.0,231.5
33.0,225.20000000000002
34.0,219.20000000000002
35.0,212.66666666666669
36.0,206.00000000000003
37.0,199.33333333333334
38.0,192.66666666666669
39.0,185.8
40.0,178.4666666666667
41.0,170.60000000000002
42.0,162.6923076923077
43.0,155.0
44.0,147.3076923076923
45.0,139.07692307692307
46.0,130.92307692307693
47.0,123.21428571428571
48.0,115.35714285714283
49.0,107.07692307692307
50.0,98.70769230769231
51.0,90.5
52.0,83.0
53.0,75.35999999999999
54.0,68.95555555555553
55.0,62.719999999999985
56.0,57.43999999999998
57.0,52.64444444444444
58.0,48.13000000000001
59.0,44.16666666666668
60.0,40.38
61.0,37.160000000000004
62.0,34.05555555555556
63.0,31.25
64.0,28.72222222222223
65.0,26.440000000000012
66.0,24.333333333333332
67.0,22.439999999999994
68.0,20.779999999999994
69.0,19.133333333333336
70.0,17.760000000000005
71.0,16.433333333333326
72.0,15.309999999999993
73.0,14.2
74.0,13.2
75.0,12.4
76.0,11.530000000000003
77.0,10.833333333333337
78.0,10.175999999999998
79.0,9.559999999999999
80.0,8.990000000000002
81.0,8.505
82.0,8.049999999999999
83.0,7.621999999999998
84.0,7.253333333333332
85.0,6.915
86.0,6.604444444444446
87.0,6.324000000000002
88.0,6.076000000000001
89.0,5.833333333333333
90.0,5.619999999999999
91.0,5.427777777777778
92.0,5.25
93.0,5.1
94.0,4.956666666666666
95.0,4.8149999999999995
96.0,4.7
97.0,4.590000000000001
98.0,4.49
99.0,4.4
100.0,4.32
101.0,20.6
102.0,36.3
103.0,79.2
104.0,105.0
105.0,136.0
106.0,154.0
107.0,171.0
108.0,187.0
109.0,201.0
110.0,214.0
111.0,225.0
112.0,241.0
113.0,247.0
114.0,253.0
115.0,261.0
116.0,267.0
117.0,268.0
118.0,272.0
119.0,273.0
120.0,273.0
121.0,273.0
122.0,271.0
123.0,269.0
124.0,268.0
125.0,266.0
126.0,260.0
127.0,256.0
128.0,251.0
129.0,247.0
130.0,242.0
131.0,236.0
132.0,231.5
133.0,227.0
134.0,218.0
135.0,213.0
136.0,208.0
137.0,198.0
138.0,193.0
139.0,188.0
140.0,177.0
141.0,171.0
142.0,165.0
143.0,155.0
144.0,145.0
145.0,139.5
146.0,134.0
147.0,123.0
148.0,113.0
149.0,107.5
150.0,102.0
151.0,90.5
152.0,83.1
153.0,76.2
154.0,69.9
155.0,64.0
156.0,58.7
157.0,53.9
158.0,49.7
159.0,45.7
160.0,42.0
161.0,35.5
162.0,32.7
163.0,30.2
164.0,27.9
165.0,25.8
166.0,23.9
167.0,22.1
168.0,20.4
169.0,18.9
170.0,17.6
171.0,16.4
172.0,15.3
173.0,14.3
174.0,13.3
175.0,12.4
176.0,11.7
177.0,10.9
178.0,10.3
179.0,9.73
180.0,9.18
181.0,8.68
182.0,8.22
183.0,7.81
184.0,7.1
185.0,6.79
186.0,6.5
187.0,6.24
188.0,6.0
189.0,5.78
190.0,5.58
191.0,5.4
192.0,5.27
193.0,5.14
194.0,4.92
195.0,4.81
196.0,4.72
197.0,4.58
198.0,4.48
199.0,4.4
200.0,4.43
201.0,13.2
202.0,51.2
203.0,79.2
204.0,105.0
205.0,116.0
206.0,154.0
207.0,171.0
208.0,187.0
209.0,201.0
210.0,214.0
211.0,225.0
212.0,241.0
213.0,247.0
214.0,253.0
215.0,261.0
216.0,265.0
217.0,270.0
218.0,272.0
219.0,273.0
220.0,273.0
221.0,273.0
222.0,271.0
223.0,269.0
224.0,268.0
225.0,266.0
226.0,263.0
227.0,256.0
228.0,251.0
229.0,247.0
230.0,242.0
231.0,236.0
232.0,231.5
233.0,227.0
234.0,218.0
235.0,213.0
236.0,208.0
237.0,198.0
238.0,193.0
239.0,188.0
240.0,177.0
241.0,171.0
242.0,165.0
243.0,155.0
244.0,145.0
245.0,139.5
246.0,134.0
247.0,123.0
248.0,113.0
249.0,107.5
250.0,102.0
251.0,90.5
252.0,83.1
253.0,76.2
254.0,69.9
255.0,64.0
256.0,58.7
257.0,53.9
258.0,49.7
259.0,45.7
260.0,42.0
261.0,35.5
262.0,32.7
263.0,30.2
264.0,27.9
265.0,25.8
266.0,23.9
267.0,22.1
268.0,20.4
269.0,18.9
270.0,17.6
271.0,16.4
272.0,15.3
273.0,14.3
274.0,13.3
275.0,12.4
276.0,11.7
277.0,10.9
278.0,10.3
279.0,9.73
280.0,9.18
281.0,8.68
282.0,8.22
283.0,7.43
284.0,7.1
285.0,6.79
286.0,6.5
287.0,6.24
288.0,6.0
289.0,5.78
290.0,5.58
291.0,5.4
292.0,5.24
293.0,5.09
294.0,4.95
295.0,4.83
296.0,4.71
297.0,4.61
298.0,4.45
299.0,4.4
300.0,4.32
301.0,11.8
302.0,51.6
303.0,79.9
304.0,106.0
305.0,117.0
306.0,137.0
307.0,172.0
308.0,187.0
309.0,201.0
310.0,214.0
311.0,225.0
312.0,240.0
313.0,247.0
314.0,252.0
315.0,257.0
316.0,267.0
317.0,270.0
318.0,272.0
319.0,273.0
320.0,273.0
321.0,273.0
322.0,271.0
323.0,269.0
324.0,268.0
325.0,266.0
326.0,260.0
327.0,256.0
328.0,252.0
329.0,247.0
330.0,242.0
331.0,236.0
332.0,232.0
333.0,228.0
334.0,218.0
335.0,213.0
336.0,208.0
337.0,198.0
338.0,193.0
339.0,188.0
340.0,177.0
341.0,171.5
342.0,166.0
343.0,155.0
344.0,145.0
345.0,139.5
346.0,134.0
347.0,123.0
348.0,113.0
349.0,107.5
350.0,102.0
351.0,90.5
352.0,83.1
353.0,76.2
354.0,69.9
355.0,64.0
356.0,58.7
357.0,53.9
358.0,49.7
359.0,45.7
360.0,42.0
361.0,35.5
362.0,32.7
363.0,30.2
364.0,27.9
365.0,25.8
366.0,23.9
367.0,22.1
368.0,20.4
369.0,18.9
370.0,17.6
371.0,16.4
372.0,15.3
373.0,14.3
374.0,13.3
375.0,12.4
376.0,11.7
377.0,10.9
378.0,10.3
379.0,9.73
380.0,9.18
381.0,8.68
382.0,8.22
383.0,7.43
384.0,7.1
385.0,6.79
386.0,6.5
387.0,6.24
388.0,6.0
389.0,5.78
390.0,5.58
391.0,5.4
392.0,5.2
393.0,5.02
394.0,4.94
395.0,4.77
396.0,4.7
397.0,4.56
398.0,4.49
399.0,4.43
400.0,4.32
401.0,10.2
402.0,51.9
403.0,80.4
404.0,106.0
405.0,118.0
406.0,155.0
407.0,172.0
408.0,187.0
409.0,201.0
410.0,214.0
411.0,225.0
412.0,241.0
413.0,247.0
414.0,253.0
415.0,261.0
416.0,265.0
417.0,270.0
418.0,272.0
419.0,273.0
420.0,273.0
421.0,273.0
422.0,271.0
423.0,270.0
424.0,268.0
425.0,266.0
426.0,263.0
427.0,256.0
428.0,251.0
429.0,247.0
430.0,242.0
431.0,236.0
432.0,231.5
433.0,227.0
434.0,218.0
435.0,213.0
436.0,208.0
437.0,198.0
438.0,193.0
439.0,188.0
440.0,177.0
441.0,171.0
442.0,165.0
443.0,155.0
444.0,145.0
445.0,139.5
446.0,134.0
447.0,124.0
448.0,113.0
449.0,107.5
450.0,102.0
451.0,91.3
452.0,83.1
453.0,76.2
454.0,69.8
455.0,64.0
456.0,58.7
457.0,53.9
458.0,49.7
459.0,45.7
460.0,42.0
461.0,35.5
462.0,32.7
