time,V
0.0,3.5
1.0,11.7
2.0,34.3
3.0,61.495652173913044
4.0,85.63478260869564
5.0,106.1086956521739
6.0,124.97058823529412
7.0,141.05797101449275
8.0,155.1304347826087
9.0,167.76470588235296
10.0,179.0
11.0,187.57142857142858
12.0,196.14285714285714
13.0,203.14285714285714
14.0,209.57142857142858
15.0,215.14285714285714
16.0,220.14285714285714
17.0,224.28571428571428
18.0,227.71428571428572
19.0,231.0
20.0,234.0
21.0,236.0
22.0,239.0
23.0,240.0
24.0,239.0
25.0,236.75
26.0,233.5
27.0,228.75
28.0,223.42857142857142
29.0,217.0
30.0,209.71428571428572
31.0,202.14285714285714
32.0,193.5
33.0,184.5
34.0,175.00000000000003
35.0,165.00000000000003
36.0,155.0
37.0,145.0
38.0,134.99999999999997
39.0,123.7272727272727
40.0,112.5
41.0,101.34285714285716
42.0,89.7
43.0,79.3857142857143
44.0,69.2
45.0,61.228571428571435
46.0,54.17142857142858
47.0,47.58571428571429
48.0,42.21428571428572
49.0,37.414285714285704
50.0,33.20000000000001
51.0,29.516666666666662
52.0,26.171428571428578
53.0,23.357142857142854
54.0,20.928571428571423
55.0,18.7
56.0,16.799999999999997
57.0,15.1
58.0,13.714285714285715
59.0,12.42857142857143
60.0,11.299999999999999
61.0,10.3
62.0,9.478571428571428
63.0,8.742857142857144
64.0,8.09142857142857
65.0,7.528571428571427
66.0,6.995714285714287
67.0,6.5699999999999985
68.0,6.19
69.0,5.855714285714288
70.0,5.567142857142856
71.0,5.297142857142858
72.0,5.079999999999999
73.0,4.882857142857143
74.0,4.711428571428572
75.0,4.563333333333334
76.0,4.4228571428571435
77.0,4.3100000000000005
78.0,4.209999999999999
79.0,4.12
80.0,4.045
81.0,3.97
82.0,3.9128571428571433
83.0,3.864285714285714
84.0,3.821428571428571
85.0,3.775
86.0,3.744285714285714
87.0,3.7157142857142857
88.0,3.6871428571428573
89.0,3.664285714285714
90.0,3.638571428571429
91.0,3.624285714285714
92.0,3.61
93.0,3.5957142857142856
94.0,3.5814285714285714
95.0,3.577142857142857
96.0,3.5628571428571427
97.0,3.5585714285714287
98.0,3.55
99.0,3.54
100.0,3.57
101.0,11.2
102.0,25.4
103.0,71.8
104.0,93.3
105.0,103.0
106.0,124.0
107.0,136.0
108.0,156.0
109.0,164.0
110.0,179.0
111.0,191.0
112.0,197.0
113.0,202.0
114.0,211.0
115.0,214.0
116.0,221.0
117.0,224.0
118.0,226.0
119.0,231.0
120.0,235.0
121.0,237.0
122.0,239.0
123.0,239.0
124.0,239.0
125.0,237.0
126.0,233.0
127.0,226.0
128.0,222.0
129.0,217.0
130.0,211.0
131.0,199.0
132.0,192.0
133.0,185.0
134.0,173.0
135.0,161.0
136.0,155.0
137.0,149.0
138.0,136.0
139.0,123.0
140.0,110.0
141.0,95.7
142.0,89.7
143.0,82.3
144.0,69.2
145.0,58.2
146.0,53.4
147.0,45.3
148.0,41.6
149.0,38.2
150.0,32.4
151.0,29.8
152.0,25.5
153.0,23.6
154.0,20.2
155.0,18.7
156.0,16.2
157.0,15.1
158.0,13.2
159.0,12.3
160.0,10.8
161.0,10.2
162.0,9.62
163.0,9.09
164.0,8.14
165.0,7.36
166.0,7.03
167.0,6.45
168.0,6.19
169.0,5.73
170.0,5.54
171.0,5.2
172.0,5.05
173.0,4.92
174.0,4.68
175.0,4.57
176.0,4.4
177.0,4.32
178.0,4.18
179.0,4.12
180.0,4.02
181.0,3.97
182.0,3.89
183.0,3.86
184.0,3.83
185.0,3.77
186.0,3.75
187.0,3.71
188.0,3.69
189.0,3.66
190.0,3.64
191.0,3.62
192.0,3.61
193.0,3.6
194.0,3.58
195.0,3.57
196.0,3.56
197.0,3.55
198.0,3.55
199.0,3.54
200.0,3.56
201.0,11.0
202.0,25.0
203.0,71.3
204.0,92.5
205.0,102.0
206.0,123.0
207.0,145.0
208.0,155.0
209.0,172.0
210.0,179.0
211.0,191.0
212.0,197.0
213.0,206.0
214.0,210.0
215.0,214.0
216.0,221.0
217.0,224.0
218.0,226.0
219.0,231.0
220.0,235.0
221.0,237.0
222.0,239.0
223.0,240.0
224.0,239.0
225.0,237.0
226.0,232.0
227.0,230.0
228.0,223.0
229.0,218.0
230.0,207.0
231.0,200.0
232.0,194.0
233.0,187.0
234.0,176.0
235.0,164.0
236.0,152.0
237.0,145.5
238.0,139.0
239.0,126.0
240.0,113.0
241.0,99.4
242.0,89.7
243.0,82.3
244.0,69.2
245.0,58.2
246.0,53.5
247.0,45.3
248.0,41.7
249.0,35.2
250.0,32.4
251.0,29.9
252.0,25.5
253.0,23.6
254.0,21.8
255.0,18.7
256.0,16.2
257.0,15.1
258.0,13.2
259.0,12.3
260.0,10.8
261.0,10.2
262.0,9.63
263.0,8.6
264.0,8.15
265.0,7.37
266.0,7.04
267.0,6.45
268.0,6.19
269.0,5.73
270.0,5.54
271.0,5.2
272.0,5.06
273.0,4.79
274.0,4.68
275.0,4.57
276.0,4.4
277.0,4.32
278.0,4.18
279.0,4.12
280.0,4.02
281.0,3.97
282.0,3.89
283.0,3.86
284.0,3.83
285.0,3.77
286.0,3.75
287.0,3.71
288.0,3.69
289.0,3.66
290.0,3.64
291.0,3.62
292.0,3.61
293.0,3.59
294.0,3.58
295.0,3.58
296.0,3.57
297.0,3.55
298.0,3.55
299.0,3.54
300.0,3.54
301.0,11.0
302.0,30.3
303.0,71.6
304.0,93.0
305.0,112.0
306.0,124.0
307.0,146.0
308.0,155.0
309.0,164.0
310.0,179.0
311.0,191.0
312.0,197.0
313.0,206.0
314.0,211.0
315.0,214.0
316.0,221.0
317.0,224.0
318.0,229.0
319.0,231.0
320.0,235.0
321.0,237.0
322.0,239.0
323.0,239.0
324.0,239.0
325.0,237.0
326.0,233.0
327.0,226.0
328.0,222.0
329.0,217.0
330.0,211.0
331.0,199.0
332.0,192.0
333.0,185.0
334.0,173.0
335.0,161.0
336.0,155.0
337.0,149.0
338.0,136.0
339.0,123.0
340.0,110.0
341.0,95.7
342.0,89.7
343.0,82.3
344.0,69.1
345.0,58.1
346.0,53.3
